,level_0,MJD,fiber,plate,RA,logp,z,recon_error,logp_z_corrected,DEC,z-bin
23962,23962,51999,37,362,266.13,-1.92,0.06,96.16,-7.75,54.39,1
1541,1541,53520,126,1657,244.1,-19.38,0.05,25.57,-25.71,22.52,1
76823,7001,53792,4,2221,177.3,-11.34,0.05,15.63,-17.77,26.31,1
670,670,53084,388,1440,168.91,-19.14,0.05,14.39,-25.46,42.05,1
23135,23135,51955,247,472,137.91,-22.17,0.07,9.93,-26.01,-0.71,1
104887,35065,54557,562,1831,226.54,3.96,0.05,8.94,-1.92,6.11,1
124924,55102,53358,196,1953,152.14,1.01,0.05,8.3,-5.36,29.84,1
12561,12561,52262,561,743,347.43,-9.94,0.06,7.21,-14.99,15.31,1
3786,3786,51999,72,362,265.69,-12.23,0.1,20.8,-11.94,54.48,2
125995,56173,53167,287,1423,249.68,-19.45,0.09,5.46,-20.74,24.43,2
55908,55908,53473,374,1627,187.26,-3.99,0.09,4.35,-5.61,8.63,2
34156,34156,53729,142,2236,190.0,-22.62,0.09,3.56,-23.43,27.09,2
127699,57877,53327,499,1928,127.29,-17.14,0.08,3.54,-19.13,24.65,2
17798,17798,53770,183,2376,158.49,-19.71,0.09,3.3,-21.28,20.34,2
70000,178,52443,297,986,317.44,-12.03,0.09,3.17,-13.88,0.07,2
41007,41007,52441,60,790,219.56,-18.33,0.1,2.93,-18.8,57.08,2
64720,64720,52000,259,288,184.49,-24.18,0.12,4.44,-21.67,-0.79,3
74619,4797,53494,379,1829,220.81,-20.34,0.12,3.28,-18.09,7.37,3
103173,33351,51614,34,281,173.22,-2.13,0.13,3.24,1.93,0.14,3
82576,12754,54464,360,1876,132.52,-15.95,0.13,2.97,-11.3,64.36,3
65040,65040,51999,273,362,263.05,-18.1,0.12,2.8,-15.19,54.39,3
113657,43835,51908,301,450,134.94,-19.63,0.12,2.62,-17.45,55.17,3
59381,59381,53379,43,1752,168.88,-13.54,0.12,2.46,-11.42,13.12,3
34664,34664,54154,491,2497,170.97,-9.82,0.12,2.33,-6.73,25.03,3
28098,28098,51999,20,362,266.12,-19.74,0.14,8.72,-14.08,53.94,4
46562,46562,53054,407,1436,164.53,-34.58,0.14,5.06,-29.06,46.64,4
45237,45237,51959,428,541,114.46,-23.62,0.16,4.88,-16.0,33.09,4
62486,62486,51820,210,429,26.87,-24.42,0.16,2.82,-16.38,12.86,4
131329,61507,53149,595,1570,251.34,-26.03,0.15,2.49,-18.75,21.87,4
48570,48570,54178,43,2492,168.69,-17.66,0.14,2.43,-12.31,20.59,4
113720,43898,51993,166,334,186.92,-25.26,0.16,2.41,-16.61,-3.08,4
24225,24225,52465,473,1043,207.94,-21.64,0.14,2.22,-16.01,53.02,4
43601,43601,52345,483,613,230.33,-30.49,0.18,3.34,-19.2,60.09,5
85197,15375,53504,119,1828,219.63,-19.12,0.19,3.22,-7.6,5.74,5
86421,16599,54510,524,2150,225.62,-34.72,0.18,3.21,-24.11,23.11,5
118348,48526,51671,460,348,248.54,-27.61,0.21,3.07,-12.84,1.01,5
17007,17007,53818,291,2013,184.77,-32.57,0.21,2.81,-17.76,31.42,5
44608,44608,53815,177,2427,129.56,-17.25,0.22,2.65,-1.37,14.31,5
127602,57780,53682,16,2268,122.67,-30.42,0.19,2.48,-18.66,13.11,5
13862,13862,53035,421,1735,113.87,-28.0,0.21,2.44,-13.35,42.72,5
