,level_0,MJD,fiber,plate,RA,logp,z,recon_error,logp_z_corrected,recon_error_std_AE1,recon_error_AE1,DEC,z-bin
23962,23962,51999,37,362,266.13,-1.92,0.06,96.16,-7.75,191.87,86.2,54.39,1
670,670,53084,388,1440,168.91,-19.14,0.05,14.39,-25.46,52.23,10.32,42.05,1
120080,50258,51691,640,350,261.13,-26.84,0.08,5.66,-29.09,68.91,10.13,64.93,1
23135,23135,51955,247,472,137.91,-22.17,0.07,9.93,-26.01,24.6,8.68,-0.71,1
23696,23696,53089,640,1779,121.42,-12.91,0.06,5.66,-18.67,45.09,8.59,49.13,1
131989,62167,51699,640,349,257.47,-11.14,0.07,5.75,-14.83,30.12,6.93,63.74,1
1541,1541,53520,126,1657,244.1,-19.38,0.05,25.57,-25.71,8.7,5.28,22.52,1
30750,30750,52822,640,1330,230.2,-12.45,0.07,2.77,-15.95,13.1,3.94,48.87,1
3786,3786,51999,72,362,265.69,-12.23,0.1,20.8,-11.94,42.55,20.93,54.48,2
125995,56173,53167,287,1423,249.68,-19.45,0.09,5.46,-20.74,30.58,4.79,24.43,2
55908,55908,53473,374,1627,187.26,-3.99,0.09,4.35,-5.61,33.28,3.83,8.63,2
68284,68284,52367,640,880,177.22,-9.59,0.1,2.27,-10.02,10.09,3.47,52.4,2
138676,68854,53886,640,2164,234.41,-10.03,0.09,2.5,-11.4,11.31,3.39,19.7,2
34254,34254,52143,639,376,338.58,-14.06,0.09,2.33,-15.58,7.73,2.91,0.68,2
26342,26342,53883,640,1778,210.04,-9.34,0.09,2.06,-10.57,8.64,2.8,13.89,2
50758,50758,53827,638,2232,186.99,-15.88,0.1,2.37,-16.03,8.91,2.65,30.21,2
103173,33351,51614,34,281,173.22,-2.13,0.13,3.24,1.93,585.72,3.13,0.14,3
65040,65040,51999,273,362,263.05,-18.1,0.12,2.8,-15.19,13.62,2.79,54.39,3
64720,64720,52000,259,288,184.49,-24.18,0.12,4.44,-21.67,6.01,2.3,-0.79,3
59381,59381,53379,43,1752,168.88,-13.54,0.12,2.46,-11.42,5.39,2.17,13.12,3
74619,4797,53494,379,1829,220.81,-20.34,0.12,3.28,-18.09,7.18,2.05,7.37,3
29205,29205,52824,548,1335,241.84,-13.52,0.13,1.88,-9.61,6.52,2.05,41.67,3
113657,43835,51908,301,450,134.94,-19.63,0.12,2.62,-17.45,5.46,1.99,55.17,3
69957,135,52767,480,1337,245.05,-16.15,0.13,2.25,-12.02,5.02,1.99,38.11,3
28098,28098,51999,20,362,266.12,-19.74,0.14,8.72,-14.08,28.12,9.52,53.94,4
46562,46562,53054,407,1436,164.53,-34.58,0.14,5.06,-29.06,9.48,3.39,46.64,4
3377,3377,52022,374,528,203.44,-12.33,0.16,2.19,-3.93,15.12,2.16,3.47,4
135293,65471,53149,176,1612,182.84,-4.77,0.17,2.18,4.55,194.41,2.13,12.26,4
11428,11428,54259,373,1789,190.5,-16.21,0.17,2.02,-6.86,10.37,2.04,11.05,4
45237,45237,51959,428,541,114.46,-23.62,0.16,4.88,-16.0,33.51,1.95,33.09,4
69666,69666,53881,4,2130,216.37,-18.58,0.15,1.87,-12.19,8.72,1.92,27.65,4
11280,11280,53002,634,1430,159.87,0.82,0.15,1.81,7.4,42.84,1.8,39.73,4
43601,43601,52345,483,613,230.33,-30.49,0.18,3.34,-19.2,7.95,2.93,60.09,5
85197,15375,53504,119,1828,219.63,-19.12,0.19,3.22,-7.6,17.98,2.83,5.74,5
86421,16599,54510,524,2150,225.62,-34.72,0.18,3.21,-24.11,6.89,2.77,23.11,5
44608,44608,53815,177,2427,129.56,-17.25,0.22,2.65,-1.37,318.08,2.63,14.31,5
82177,12355,51614,32,281,173.27,-7.37,0.2,2.29,5.64,138.97,2.21,0.22,5
78783,8961,52516,177,1054,239.18,-15.82,0.2,2.15,-2.88,137.67,2.09,40.03,5
134628,64806,53463,1,1981,163.66,-20.51,0.25,2.05,-0.94,5.14,2.0,29.73,5
127602,57780,53682,16,2268,122.67,-30.42,0.19,2.48,-18.66,8.69,1.91,13.11,5
